real_time,tick_ms,sensor,value1,value2
# Session started: 2026-07-28 18:28:16
2026-07-28 18:28:16,46539,DHT11,30.0,69.0
2026-07-28 18:28:18,48562,DHT11,30.0,69.0
2026-07-28 18:28:20,50586,DHT11,30.0,70.0
2026-07-28 18:28:22,52609,DHT11,30.0,69.0
2026-07-28 18:28:24,54000,PIR,1
2026-07-28 18:28:24,54632,DHT11,30.0,69.0
2026-07-28 18:28:26,56656,DHT11,30.0,69.0
2026-07-28 18:28:28,58680,DHT11,30.0,69.0
2026-07-28 18:28:30,60703,DHT11,30.0,69.0
2026-07-28 18:28:32,62726,DHT11,30.0,69.0
2026-07-28 18:28:34,64750,DHT11,30.0,70.0
2026-07-28 18:28:36,66773,DHT11,30.0,71.0
2026-07-28 18:28:38,68796,DHT11,30.0,71.0
2026-07-28 18:28:41,70819,DHT11,30.0,71.0
2026-07-28 18:28:42,72000,PIR,1
2026-07-28 18:28:43,72842,DHT11,30.0,71.0
2026-07-28 18:28:45,74865,DHT11,30.0,72.0
2026-07-28 18:28:47,76888,DHT11,30.0,71.0
2026-07-28 18:28:49,78911,DHT11,30.0,70.0
2026-07-28 18:28:51,80935,DHT11,30.0,70.0
2026-07-28 18:28:53,82959,DHT11,30.0,70.0
2026-07-28 18:28:55,84982,DHT11,30.0,69.0
2026-07-28 18:28:57,87006,DHT11,30.0,69.0
2026-07-28 18:28:58,88000,PIR,1
2026-07-28 18:28:59,89030,DHT11,30.0,69.0
2026-07-28 18:29:01,91053,DHT11,30.0,69.0
2026-07-28 18:29:03,93076,DHT11,30.0,69.0
2026-07-28 18:29:05,95099,DHT11,30.0,69.0
2026-07-28 18:29:07,97122,DHT11,30.0,69.0
2026-07-28 18:29:09,99146,DHT11,30.0,69.0
2026-07-28 18:29:11,101169,DHT11,30.0,69.0
2026-07-28 18:29:13,103192,DHT11,30.0,69.0
2026-07-28 18:29:15,105215,DHT11,30.0,69.0
2026-07-28 18:29:17,107238,DHT11,30.0,69.0
2026-07-28 18:29:19,109261,DHT11,30.0,69.0
2026-07-28 18:29:21,111284,DHT11,30.0,69.0
2026-07-28 18:29:23,113307,DHT11,30.0,69.0
2026-07-28 18:29:25,115330,DHT11,30.0,69.0
2026-07-28 18:29:27,117353,DHT11,30.0,69.0
2026-07-28 18:29:28,118000,PIR,1
2026-07-28 18:29:29,119377,DHT11,30.0,69.0
2026-07-28 18:29:31,121401,DHT11,30.0,69.0
2026-07-28 18:29:33,123424,DHT11,30.0,69.0
2026-07-28 18:29:35,125448,DHT11,30.0,69.0
2026-07-28 18:29:37,127471,DHT11,30.0,69.0
2026-07-28 18:29:39,129494,DHT11,30.0,69.0
2026-07-28 18:29:41,131518,DHT11,30.0,69.0
2026-07-28 18:29:42,132000,PIR,1
2026-07-28 18:29:43,133541,DHT11,30.0,69.0
